date,ETTh1,ETTh2,OT
2016/7/1 0:00,30.53100014,38.66199875,69.19299889
2016/7/1 1:00,27.78700066,37.12400055,64.91100121
2016/7/1 2:00,27.78700066,36.46500015,64.25200081
2016/7/1 3:00,25.04400063,33.60850143,58.65250206
2016/7/1 4:00,21.94799995,31.85050011,53.79850006
2016/7/1 5:00,21.17399979,30.53199959,51.70599937
2016/7/1 6:00,22.79199982,30.09300041,52.88500023
2016/7/1 7:00,23.1439991,29.87299919,53.01699829
2016/7/1 8:00,21.66699982,29.65299988,51.31999969
2016/7/1 9:00,17.44599915,29.21349907,46.65949821
2016/7/1 10:00,19.97900009,27.45599937,47.43499947
2016/7/1 11:00,20.11899948,27.45599937,47.57499886
2016/7/1 12:00,19.20499992,27.23649979,46.44149971
2016/7/1 13:00,18.5720005,26.57699966,45.14900017
2016/7/1 14:00,19.55599976,26.79700089,46.35300064
2016/7/1 15:00,17.30500031,26.79700089,44.10200119
2016/7/1 16:00,19.48600006,26.79700089,46.28300095
2016/7/1 17:00,19.13400078,26.57749939,45.71150017
2016/7/1 18:00,20.68199921,26.57749939,47.2594986
2016/7/1 19:00,18.71199989,26.13750076,44.84950066
2016/7/1 20:00,17.86800003,26.13750076,44.00550079
2016/7/1 21:00,18.00900078,25.69849968,43.70750046
2016/7/1 22:00,18.00900078,25.91799927,43.92700005
2016/7/1 23:00,19.76799965,25.91799927,45.68599892
2016/7/2 0:00,21.10400009,25.91799927,47.02199936
2016/7/2 1:00,19.6970005,26.35750008,46.05450058
2016/7/2 2:00,20.04899979,26.13750076,46.18650055
2016/7/2 3:00,20.75200081,25.69849968,46.45050049
2016/7/2 4:00,21.38500023,25.69849968,47.08349991
2016/7/2 5:00,22.22999954,25.91799927,48.14799881
2016/7/2 6:00,20.26000023,25.91799927,46.1779995
2016/7/2 7:00,21.10400009,25.91799927,47.02199936
2016/7/2 8:00,20.61199951,25.47850037,46.09049988
2016/7/2 9:00,18.36100006,25.69799995,44.05900002
2016/7/2 10:00,20.96299934,25.91799927,46.88099861
2016/7/2 11:00,19.41600037,25.91799927,45.33399963
2016/7/2 12:00,20.82299995,26.13750076,46.96050072
2016/7/2 13:00,20.19000053,26.35750008,46.54750061
2016/7/2 14:00,21.31500053,26.57749939,47.89249992
2016/7/2 15:00,22.0189991,27.45599937,49.47499847
2016/7/2 16:00,20.68199921,27.6760006,48.3579998
2016/7/2 17:00,25.4659996,28.1154995,53.5814991
2016/7/2 18:00,25.88800049,28.55450058,54.44250107
